Index,Predicted,Actual,Difference,PercentageError
1,118507.74,118418.86,88.88000000000466,0.07505561191857839
2,118483.21,118377.71,105.5,0.08912150775682347
3,118443.14,118433.99,9.14999999999418,0.007725822629123767
4,118422.75,118480.0,-57.25,0.048320391627278865
5,118422.53,118494.11,-71.58000000000175,0.06040806585238857
6,118437.74,118493.12,-55.379999999990105,0.04673689071567202
7,118455.5,118553.64,-98.13999999999942,0.08278109385759848
8,118493.61,118592.39,-98.77999999999884,0.0832937088121749
9,118541.17,118572.0,-30.830000000001746,0.02600107951287129
10,118575.93,118584.96,-9.030000000013388,0.0076147936466929595
11,118606.18,118567.82,38.35999999998603,0.032352791845195454
12,118625.42,118561.95,63.470000000001164,0.053533195093367784
13,118631.64,118561.94,69.69999999999709,0.0587878369736503
14,118617.41,118466.93,150.48000000001048,0.12702279024197763
15,118565.01,118472.7,92.30999999999767,0.07791668460328638
16,118526.49,118467.57,58.919999999998254,0.04973513004444866
17,118491.46,118466.76,24.70000000001164,0.020849730337870003
18,118457.78,118506.56,-48.779999999998836,0.041162278273876855
19,118448.1,118532.37,-84.26999999998952,0.07109450355205883
20,118462.15,118532.36,-70.2100000000064,0.0592327698528962
21,118477.59,118532.36,-54.770000000004075,0.046206791124385
22,118495.26,118539.99,-44.73000000001048,0.037734101377948887
23,118517.4,118571.47,-54.070000000006985,0.04560118888633748
24,118549.43,118571.46,-22.030000000013388,0.018579513147610215
25,118581.17,118544.49,36.679999999993015,0.03094196955083531
26,118587.54,118540.83,46.70999999999185,0.03940414454664427
27,118580.24,118540.83,39.41000000000349,0.0332459288500034
28,118572.45,118469.8,102.64999999999418,0.08664655464936565
29,118534.18,118479.99,54.189999999987776,0.045737681105465805
30,118505.21,118467.97,37.24000000000524,0.03143465697943945
31,118481.17,118445.05,36.11999999999534,0.03049515365985775
32,118454.55,118421.87,32.68000000000757,0.02759625396897344
33,118422.84,118431.39,-8.55000000000291,0.0072193697971482985
34,118401.83,118461.65,-59.81999999999243,0.050497355051185286
35,118402.55,118465.8,-63.25,0.0533909364559223
36,118413.48,118461.65,-48.169999999998254,0.04066294872644291
37,118423.52,118479.86,-56.33999999999651,0.047552385696604055
38,118441.44,118475.5,-34.05999999999767,0.028748559828823402
39,118461.48,118453.44,8.039999999993597,0.006787477003617284
40,118466.28,118431.38,34.89999999999418,0.029468541192371633
41,118458.7,118304.01,154.69000000000233,0.1307563454527047
42,118408.7,118410.15,-1.4499999999970896,0.0012245571853401838
43,118402.33,118414.11,-11.779999999998836,0.009948138781770885
44,118391.89,118407.46,-15.570000000006985,0.013149509329907915
45,118379.65,118421.6,-41.95000000001164,0.03542428070555679
46,118380.0,118367.05,12.94999999999709,0.01094054468705361
47,118365.29,118335.62,29.669999999998254,0.025072754932114485
48,118344.7,118350.36,-5.6600000000034925,0.004782410463308681
49,118337.32,118350.36,-13.039999999993597,0.011018132940190124
